satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Female,Loyal Customer,68,Personal Travel,Eco,572,0,4,0,1,1,0,1,1,3,4,4,3,5,1,0,3
dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,3839,1,0,2,3,2,2,2,4,1,3,5,2,4,2,0,0
dissatisfied,Male,Loyal Customer,31,Personal Travel,Eco,1850,1,0,2,3,5,2,5,5,3,3,4,4,5,5,0,0
satisfied,Female,Loyal Customer,16,Personal Travel,Eco,2964,0,4,0,1,4,3,5,1,1,0,1,1,1,5,1,0
dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,1595,1,0,2,4,4,2,4,4,5,2,5,3,4,4,0,0
satisfied,Female,Loyal Customer,35,Personal Travel,Eco,2575,0,4,0,1,2,5,5,1,1,0,1,3,1,4,0,0
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,1961,1,0,2,5,1,2,1,1,4,4,4,4,5,1,10,0
dissatisfied,Male,Loyal Customer,22,Personal Travel,Eco,1453,1,0,3,2,3,3,3,3,3,5,5,4,5,3,0,0
dissatisfied,Male,Loyal Customer,66,Personal Travel,Eco,1190,1,0,3,2,3,3,3,3,5,5,4,5,5,3,0,0
dissatisfied,Male,Loyal Customer,10,Personal Travel,Eco Plus,1168,1,0,4,5,2,4,2,2,4,3,5,5,5,2,0,0
satisfied,Female,Loyal Customer,57,Personal Travel,Eco,302,0,4,0,1,1,0,1,1,4,3,4,3,4,1,0,5
dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco,1918,1,0,5,3,5,5,5,5,2,2,2,3,1,5,0,0
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,3860,1,1,0,1,4,0,4,4,2,3,1,1,2,4,1,0
dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,2017,1,1,0,1,2,0,2,2,1,2,1,4,2,2,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Eco Plus,77,0,4,0,1,5,5,4,4,4,0,5,3,4,4,0,0
dissatisfied,Male,Loyal Customer,27,Personal Travel,Eco,1648,1,1,0,1,5,0,2,5,2,1,1,1,1,5,9,17
satisfied,Female,Loyal Customer,49,Personal Travel,Eco Plus,2438,0,4,0,2,4,3,5,5,5,0,5,3,5,5,0,0
dissatisfied,Male,Loyal Customer,34,Personal Travel,Eco,2511,1,1,0,2,4,0,4,4,2,1,2,1,2,4,37,23
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco,3132,1,1,0,2,0,4,4,3,4,3,2,4,4,4,205,210
satisfied,Female,Loyal Customer,43,Personal Travel,Eco,1231,0,4,0,2,3,4,1,2,2,0,2,5,2,2,0,0
satisfied,Female,Loyal Customer,54,Personal Travel,Eco,1216,0,4,0,2,4,0,4,4,4,2,5,5,5,4,0,1
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco,2316,1,1,0,2,3,0,3,3,2,2,2,1,2,3,62,63
dissatisfied,Male,Loyal Customer,56,Personal Travel,Business,617,1,1,0,2,5,1,2,4,4,0,4,4,4,4,17,4
satisfied,Female,Loyal Customer,30,Personal Travel,Eco,1465,0,4,0,2,5,0,5,5,2,1,3,3,2,5,0,0
satisfied,Female,Loyal Customer,13,Personal Travel,Eco,1603,0,4,0,2,3,0,1,3,3,2,5,3,5,3,0,6
satisfied,Female,Loyal Customer,27,Personal Travel,Eco Plus,3482,0,4,0,2,1,0,1,1,3,5,4,5,5,1,6,0
dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,2267,1,1,0,3,4,0,4,4,1,2,2,3,3,4,46,59
dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco Plus,2736,1,1,0,3,4,0,4,4,2,4,4,1,3,4,0,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Eco,2968,1,1,0,3,5,0,5,5,3,4,4,3,3,5,9,22
dissatisfied,Male,Loyal Customer,46,Personal Travel,Eco,2642,1,1,0,3,3,0,3,3,3,4,4,1,3,3,0,0
satisfied,Female,Loyal Customer,43,Personal Travel,Eco Plus,1107,0,4,0,2,5,4,5,5,5,0,1,3,5,5,0,0
satisfied,Female,Loyal Customer,52,Personal Travel,Business,1139,0,4,0,2,5,0,5,5,3,5,4,4,5,5,96,127
satisfied,Female,Loyal Customer,47,Personal Travel,Eco,981,0,4,0,2,5,5,4,2,2,4,2,3,2,3,0,0
satisfied,Female,Loyal Customer,8,Personal Travel,Eco,1855,0,4,0,2,5,5,4,2,2,0,3,3,2,3,0,4
satisfied,Female,Loyal Customer,47,Personal Travel,Eco,916,0,4,0,2,5,4,5,2,2,0,2,4,2,5,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Eco,786,0,4,0,2,5,4,4,4,4,0,4,5,4,3,1,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Eco,2087,1,1,0,3,2,0,2,2,4,2,2,3,3,2,66,87
dissatisfied,Male,Loyal Customer,42,Personal Travel,Eco,1823,1,1,0,3,1,0,1,1,1,2,3,4,4,1,0,5
dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco,1606,1,1,0,3,2,0,2,2,4,1,3,1,4,2,54,48
dissatisfied,Male,Loyal Customer,39,Personal Travel,Eco,1446,1,1,0,3,5,0,5,5,4,2,3,2,2,5,0,5
satisfied,Female,Loyal Customer,22,Personal Travel,Business,1939,0,4,0,3,2,0,2,2,3,3,4,1,4,2,0,0
dissatisfied,Male,Loyal Customer,13,Personal Travel,Eco Plus,2148,1,1,0,3,1,0,1,1,3,2,2,3,3,1,2,1
satisfied,Female,Loyal Customer,15,Personal Travel,Eco,1061,0,4,0,3,1,0,1,1,3,5,4,5,4,1,16,6
dissatisfied,Male,Loyal Customer,63,Personal Travel,Eco,1332,1,1,0,3,5,0,5,5,1,4,2,1,2,5,0,0
dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,1937,1,1,0,3,5,0,3,5,4,3,3,2,3,5,0,26
satisfied,Female,Loyal Customer,42,Personal Travel,Eco,55,0,4,0,3,4,0,3,4,2,3,3,2,3,4,0,6
satisfied,Female,Loyal Customer,51,Personal Travel,Eco,116,0,4,0,3,5,3,3,4,4,0,4,1,4,2,0,0
dissatisfied,Male,Loyal Customer,47,Personal Travel,Eco,1891,1,1,0,3,1,0,1,1,2,3,4,4,3,1,0,3
satisfied,Female,Loyal Customer,13,Personal Travel,Eco,4023,0,4,0,3,3,5,4,1,1,0,1,4,1,5,0,0
dissatisfied,Male,Loyal Customer,35,Personal Travel,Eco,3533,1,1,0,4,2,0,2,2,2,3,3,4,4,2,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco,3050,1,1,0,4,5,0,5,5,4,1,4,2,4,5,40,12
satisfied,Female,Loyal Customer,59,Personal Travel,Eco,1499,0,4,0,3,3,4,5,2,2,0,2,4,2,4,83,90
dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,1892,1,1,0,4,5,0,5,5,4,2,4,4,3,5,0,0
dissatisfied,Male,Loyal Customer,9,Personal Travel,Eco,2643,1,1,0,4,4,0,4,4,4,4,4,1,3,4,15,8
satisfied,Female,Loyal Customer,31,Personal Travel,Eco,2798,0,4,0,3,1,0,1,1,2,1,4,5,1,1,0,0
dissatisfied,Male,Loyal Customer,65,Personal Travel,Eco,1979,1,1,0,4,2,0,2,2,4,5,3,3,3,2,0,0
dissatisfied,Male,Loyal Customer,12,Personal Travel,Eco,1931,1,1,0,4,4,0,2,4,1,5,3,3,4,4,5,11
satisfied,Female,,43,Personal Travel,Eco,684,0,4,0,3,4,0,4,4,4,3,1,2,5,4,0,1
satisfied,Female,Loyal Customer,54,Personal Travel,Eco,377,0,4,0,3,5,5,4,1,1,0,1,3,1,3,5,5
satisfied,Female,Loyal Customer,17,Personal Travel,Eco,1512,0,4,0,3,1,4,1,1,3,2,5,3,5,1,0,0
dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,1593,1,1,0,4,4,0,4,4,2,2,3,3,4,4,0,0
satisfied,Female,Loyal Customer,70,Personal Travel,Eco,56,0,4,0,3,4,4,4,1,1,0,3,4,1,5,0,0
satisfied,Female,Loyal Customer,43,Personal Travel,Eco,87,0,4,0,3,4,0,4,4,4,4,5,4,4,4,0,0
satisfied,Female,Loyal Customer,42,Personal Travel,Eco,2549,0,4,0,3,5,0,5,5,5,3,5,5,5,5,18,0
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,4001,1,1,1,1,1,1,1,1,4,1,1,4,2,1,16,0
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,3980,1,1,1,1,4,1,4,4,2,3,2,3,2,4,0,0
satisfied,Female,Loyal Customer,53,Personal Travel,Eco,1581,0,4,0,3,4,5,5,4,4,0,4,4,4,4,0,24
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2405,0,4,0,3,4,0,4,4,2,4,4,2,4,4,0,0
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco,2251,1,1,1,1,1,1,1,1,3,3,2,1,1,1,0,8
satisfied,Female,Loyal Customer,23,Personal Travel,Eco,2444,0,4,0,3,2,0,2,2,3,1,3,5,5,2,30,27
dissatisfied,Male,Loyal Customer,46,Personal Travel,Eco,2453,1,1,1,1,3,1,5,3,1,4,1,2,2,3,3,15
dissatisfied,Male,Loyal Customer,63,Personal Travel,Eco,2011,1,1,1,1,5,1,5,5,1,5,2,1,2,5,25,25
satisfied,Female,Loyal Customer,11,Personal Travel,Eco,1984,0,4,0,3,3,0,3,3,4,2,5,3,5,3,16,3
satisfied,Female,Loyal Customer,50,Personal Travel,Eco,931,0,4,0,3,3,0,3,3,4,5,5,5,4,3,0,3
dissatisfied,Male,Loyal Customer,28,Personal Travel,Eco,1965,1,1,1,1,5,1,5,5,3,2,1,3,2,5,10,7
satisfied,Female,Loyal Customer,38,Personal Travel,Eco,2036,0,4,0,3,2,0,2,2,4,2,5,5,5,2,70,54
dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco,2471,1,1,1,1,5,1,5,5,2,1,2,3,2,5,0,0
dissatisfied,Male,Loyal Customer,13,Personal Travel,Eco,1647,1,1,1,1,3,1,3,3,3,4,1,2,1,3,39,18
dissatisfied,Male,Loyal Customer,29,Personal Travel,Eco,2214,1,1,1,1,4,1,3,4,3,2,2,2,1,4,0,0
dissatisfied,Male,Loyal Customer,45,Personal Travel,Eco,2172,1,1,1,1,2,1,2,2,1,5,1,1,2,2,6,3
dissatisfied,Male,Loyal Customer,47,Personal Travel,Eco,2036,1,1,1,1,4,1,4,4,4,3,2,2,2,4,0,0
dissatisfied,Male,Loyal Customer,60,Personal Travel,Business,326,1,1,1,1,4,1,2,4,4,1,4,3,4,2,2,0
satisfied,Female,Loyal Customer,45,Personal Travel,Business,336,0,4,0,3,4,4,4,1,1,0,1,3,1,3,31,45
dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,1785,1,1,1,1,5,1,5,5,3,2,2,3,2,5,1,0
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,1926,0,4,0,3,2,0,2,2,2,4,1,3,3,2,0,0
dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,2135,1,1,1,1,1,3,4,3,4,2,1,4,1,4,265,245
dissatisfied,Male,Loyal Customer,33,Personal Travel,Eco Plus,949,1,1,1,1,4,1,4,4,1,1,1,3,1,4,23,42
satisfied,Female,Loyal Customer,31,Personal Travel,Eco,2074,0,4,0,3,4,0,4,4,2,1,2,3,3,4,5,0
satisfied,Female,Loyal Customer,41,Personal Travel,Eco,1287,0,4,0,3,1,0,1,1,3,5,4,3,4,1,0,18
dissatisfied,Male,Loyal Customer,54,Personal Travel,Eco Plus,4088,1,1,1,2,2,1,2,2,3,4,2,4,2,2,16,0
satisfied,Female,Loyal Customer,18,Personal Travel,Eco,3779,0,4,0,3,1,2,3,2,2,0,2,1,2,4,5,0
dissatisfied,Male,Loyal Customer,46,Personal Travel,Eco,3202,1,1,1,2,4,1,2,4,1,2,3,4,3,4,0,0
dissatisfied,Male,Loyal Customer,17,Personal Travel,Eco,3828,1,1,1,2,5,1,5,5,1,5,1,2,2,5,52,49
satisfied,Female,Loyal Customer,23,Personal Travel,Eco,3800,0,4,0,4,2,0,2,2,1,2,3,4,4,2,10,0
satisfied,Female,Loyal Customer,17,Personal Travel,Eco,3234,0,4,0,4,2,0,2,2,4,5,3,5,3,2,0,0
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2939,0,4,0,4,2,0,2,2,3,1,4,3,3,2,0,2
satisfied,Female,Loyal Customer,63,Personal Travel,Eco,1781,0,4,0,4,4,5,5,3,3,0,5,5,3,5,10,17
satisfied,Female,Loyal Customer,59,Personal Travel,Eco,1789,0,4,0,4,2,2,2,3,3,0,3,4,3,1,5,0
dissatisfied,Female,Loyal Customer,24,Personal Travel,Eco Plus,3288,1,1,1,2,1,3,3,2,1,1,1,3,3,3,201,208
dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,2821,1,1,1,2,5,1,3,5,2,1,1,3,2,5,0,7
dissatisfied,Male,Loyal Customer,51,Personal Travel,Business,1561,1,1,1,2,1,2,3,4,4,1,3,1,4,2,5,0
dissatisfied,Male,Loyal Customer,33,Personal Travel,Eco,2878,1,1,1,2,5,1,5,5,1,1,2,3,2,5,0,0
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,2724,1,1,1,2,4,1,4,4,1,5,3,3,3,4,0,0
dissatisfied,Male,Loyal Customer,20,Personal Travel,Eco,3389,1,1,1,2,1,1,1,1,2,5,3,1,3,1,1,0
dissatisfied,Male,Loyal Customer,29,Personal Travel,Eco,2919,1,1,1,2,4,1,5,4,3,1,3,2,3,4,6,3
dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco,2786,1,1,1,2,5,1,5,5,4,2,3,3,2,5,18,8
dissatisfied,Male,Loyal Customer,18,Personal Travel,Eco,2953,1,1,1,2,2,1,1,2,2,5,1,3,3,2,10,7
dissatisfied,Male,Loyal Customer,60,Personal Travel,Eco Plus,3010,1,1,1,2,3,1,3,3,4,3,2,1,2,3,4,26
dissatisfied,Male,Loyal Customer,63,Personal Travel,Eco,3260,1,1,1,2,3,1,3,3,3,1,3,2,2,3,0,0
dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco,2884,1,1,1,2,1,1,1,1,3,1,1,1,2,1,0,0
satisfied,Female,Loyal Customer,32,Personal Travel,Eco,2041,0,4,0,4,1,0,1,1,3,2,5,3,4,1,0,0
satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2282,0,4,0,4,5,4,4,2,2,0,2,3,2,1,0,4
dissatisfied,Male,Loyal Customer,19,Personal Travel,Business,2345,1,1,1,2,1,1,1,1,2,3,1,3,2,1,20,16
dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,2219,1,1,1,2,1,1,2,1,2,4,1,4,1,1,0,0
satisfied,Female,Loyal Customer,32,Personal Travel,Eco,2588,0,4,0,4,5,3,3,1,1,0,1,4,1,4,0,0
satisfied,Female,Loyal Customer,27,Personal Travel,Eco,2279,0,4,0,4,5,0,5,5,4,5,1,1,3,5,0,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Eco,2175,1,1,1,2,5,1,5,5,1,1,2,2,2,5,0,0
satisfied,Female,Loyal Customer,57,Personal Travel,Eco,1056,0,4,0,4,5,1,3,1,1,0,1,2,1,4,35,60
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,2283,0,4,0,4,5,0,5,5,3,5,4,3,5,5,0,0
satisfied,Female,Loyal Customer,37,Personal Travel,Eco,1828,0,4,0,4,2,5,5,2,2,0,2,5,2,5,0,0
satisfied,Female,Loyal Customer,29,Personal Travel,Eco,2224,0,4,0,4,5,3,4,5,5,0,5,4,5,1,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Eco,1999,1,1,1,2,4,1,4,4,5,5,5,5,5,4,0,3
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco Plus,1957,1,1,1,2,2,1,4,2,2,5,2,4,3,2,0,0
satisfied,Female,Loyal Customer,28,Personal Travel,Eco,1894,0,4,0,4,5,0,5,5,4,3,4,3,3,5,0,0
satisfied,Female,Loyal Customer,56,Personal Travel,Eco,872,0,4,0,4,1,0,1,1,4,4,4,5,4,1,1,0
dissatisfied,Male,Loyal Customer,26,Personal Travel,Business,1774,1,1,1,2,4,1,4,4,3,2,1,2,2,4,22,38
satisfied,Female,Loyal Customer,55,Personal Travel,Eco Plus,867,0,4,0,4,3,4,5,5,5,0,2,3,5,4,9,17
dissatisfied,Male,Loyal Customer,40,Personal Travel,Eco Plus,2546,1,1,1,2,5,1,5,5,1,1,2,4,3,5,20,18
dissatisfied,Male,Loyal Customer,9,Personal Travel,Eco,1800,1,1,1,2,2,1,4,2,4,5,3,3,2,2,23,17
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco,2348,1,1,1,2,5,1,5,5,4,2,2,3,3,5,2,0
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco Plus,2098,1,1,1,2,3,1,3,3,4,4,3,2,3,3,0,0
dissatisfied,Male,Loyal Customer,25,Personal Travel,Eco Plus,1966,1,1,1,2,3,1,3,3,3,4,3,1,2,3,0,0
satisfied,Female,Loyal Customer,32,Personal Travel,Eco,1786,0,4,0,4,2,4,5,3,3,0,3,5,3,5,0,15
dissatisfied,Male,Loyal Customer,41,Personal Travel,Eco,2351,1,1,1,2,2,1,2,2,1,2,3,2,2,2,25,32
dissatisfied,Male,Loyal Customer,56,Personal Travel,Eco,2133,1,1,1,2,4,1,4,4,3,4,2,2,2,4,3,0
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco Plus,1792,1,1,1,2,4,1,4,4,1,4,2,4,2,4,12,22
satisfied,Female,Loyal Customer,22,Personal Travel,Eco,2076,0,4,0,4,1,0,5,1,4,4,2,3,2,1,10,40
satisfied,Female,Loyal Customer,25,Personal Travel,Eco,1793,0,4,0,4,3,4,4,1,1,0,1,3,1,4,43,35
satisfied,Female,Loyal Customer,37,Personal Travel,Eco,1845,0,4,0,4,3,0,3,3,3,2,5,3,5,3,14,21
satisfied,Female,Loyal Customer,58,Personal Travel,Eco,598,0,4,0,4,4,5,5,1,1,0,1,5,1,3,0,0
satisfied,Female,Loyal Customer,57,Personal Travel,Eco,620,0,4,0,4,3,0,3,3,5,3,5,4,4,3,0,0
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,1542,1,1,1,2,2,1,2,2,4,4,2,3,2,2,0,0
dissatisfied,Male,Loyal Customer,69,Personal Travel,Eco,2390,1,1,1,2,4,1,4,4,3,5,3,3,2,4,0,0
satisfied,Female,Loyal Customer,32,Personal Travel,Eco,1670,0,4,0,4,4,0,4,4,1,1,3,1,1,4,4,0
dissatisfied,Male,Loyal Customer,67,Personal Travel,Eco,1624,1,1,1,2,4,1,4,4,3,4,1,2,3,4,0,0
satisfied,Female,Loyal Customer,33,Personal Travel,Business,596,0,4,0,4,1,0,1,1,4,4,4,5,5,1,0,0
dissatisfied,Male,Loyal Customer,12,Personal Travel,Eco,2197,1,1,1,2,2,1,2,2,4,3,3,1,2,2,0,18
satisfied,Female,Loyal Customer,69,Personal Travel,Eco,569,0,4,0,5,2,5,5,5,5,0,2,4,5,3,13,20
dissatisfied,Male,Loyal Customer,38,Personal Travel,Eco,1283,1,1,1,2,1,1,5,1,4,4,1,2,1,1,18,22
satisfied,Female,Loyal Customer,15,Personal Travel,Eco,1312,0,4,0,5,5,0,5,5,4,2,5,5,4,5,13,7
satisfied,Female,Loyal Customer,34,Personal Travel,Eco Plus,1555,0,4,0,5,2,0,2,2,4,4,5,5,4,2,0,0
satisfied,Female,Loyal Customer,53,Personal Travel,Eco,440,0,4,1,1,1,1,1,1,3,2,3,5,5,1,67,66
satisfied,Female,Loyal Customer,32,Personal Travel,Eco,2395,0,4,1,1,3,3,5,4,4,1,4,3,4,3,0,0
satisfied,Female,Loyal Customer,11,Personal Travel,Eco,2025,0,4,1,2,3,4,4,1,1,1,1,4,1,5,46,47
dissatisfied,Male,Loyal Customer,38,Personal Travel,Eco,2263,1,1,1,2,4,1,4,4,1,3,2,2,2,4,0,0
satisfied,Female,Loyal Customer,67,Personal Travel,Eco,436,0,4,1,2,1,1,5,1,4,4,5,3,5,1,0,0
dissatisfied,Female,Loyal Customer,21,Personal Travel,Eco,1960,1,1,1,2,1,2,4,3,4,2,3,4,3,4,315,297
satisfied,Female,Loyal Customer,56,Personal Travel,Eco,382,0,4,1,3,5,4,5,3,3,1,3,4,3,4,10,24
dissatisfied,Male,Loyal Customer,55,Personal Travel,Business,391,1,1,1,2,3,1,2,1,1,1,1,3,1,2,0,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Eco,1770,1,1,1,2,2,1,2,2,1,1,2,1,1,2,0,0
dissatisfied,Male,Loyal Customer,29,Personal Travel,Eco Plus,1495,1,1,1,2,4,1,4,4,3,2,3,4,2,4,0,0
dissatisfied,Male,Loyal Customer,22,Personal Travel,Eco,2224,1,1,1,2,3,1,3,3,4,3,2,1,2,3,0,0
dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,1897,1,1,1,2,3,1,3,3,4,3,2,1,3,3,22,55
satisfied,Female,Loyal Customer,14,Personal Travel,Eco,1576,0,4,1,3,3,1,1,3,4,2,5,4,5,3,28,29
dissatisfied,Male,Loyal Customer,70,Personal Travel,Eco,1646,1,1,1,2,1,1,1,1,3,5,2,4,3,1,0,0
dissatisfied,Male,Loyal Customer,17,Personal Travel,Eco,1133,1,1,1,2,3,1,3,3,4,4,2,3,1,3,1,0
satisfied,Female,Loyal Customer,62,Personal Travel,Eco,316,0,4,1,4,3,1,3,3,3,3,5,5,4,3,2,10
satisfied,Female,Loyal Customer,67,Personal Travel,Eco,312,0,5,0,1,4,0,4,4,5,3,4,4,4,4,16,12
dissatisfied,Male,Loyal Customer,12,Personal Travel,Eco,1485,1,1,1,2,4,1,4,4,4,5,2,1,3,4,0,0
satisfied,Female,Loyal Customer,49,Personal Travel,Eco,301,0,5,0,1,4,0,4,4,5,4,4,5,4,4,0,0
satisfied,Female,Loyal Customer,27,Personal Travel,Eco,1329,0,5,0,1,4,4,4,2,2,0,3,5,2,4,0,0
satisfied,Female,Loyal Customer,11,Personal Travel,Eco,1390,0,5,0,1,1,0,1,1,5,3,5,5,4,1,17,18
dissatisfied,Male,Loyal Customer,64,Personal Travel,Eco,1013,1,1,1,2,4,1,4,4,4,5,3,1,3,4,0,2
satisfied,Female,Loyal Customer,11,Personal Travel,Eco,1547,0,5,0,1,1,0,1,1,4,3,5,3,5,1,0,12
dissatisfied,Male,Loyal Customer,30,Personal Travel,Eco Plus,1243,1,1,1,2,4,1,5,4,1,4,3,4,3,4,0,0
satisfied,Female,Loyal Customer,13,Personal Travel,Eco,1243,0,5,0,1,4,0,4,4,3,3,5,4,3,4,0,0
dissatisfied,Male,Loyal Customer,57,Personal Travel,Eco,1389,1,1,1,2,1,1,1,1,2,1,2,3,2,1,0,0
satisfied,Female,Loyal Customer,54,Personal Travel,,243,0,5,0,1,3,5,4,3,3,0,3,4,3,3,0,0
satisfied,Female,Loyal Customer,15,Personal Travel,Eco,1734,0,5,0,1,3,5,4,4,4,0,4,5,4,5,0,0
satisfied,Female,Loyal Customer,26,Personal Travel,Eco Plus,1022,0,5,0,1,4,0,5,4,5,5,4,4,4,4,103,102
dissatisfied,Male,Loyal Customer,60,Personal Travel,Eco,1148,1,1,1,2,4,1,2,4,1,3,3,1,3,4,0,14
dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco,1330,1,1,1,2,3,1,3,3,4,3,2,4,3,3,4,8
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,1426,1,1,1,2,4,1,2,4,4,2,1,2,1,4,10,18
satisfied,Female,Loyal Customer,56,Personal Travel,Eco,60,0,5,0,1,1,0,1,1,3,4,4,3,5,1,0,0
dissatisfied,Male,Loyal Customer,32,Personal Travel,Eco,955,1,1,1,2,3,1,3,3,1,4,3,1,3,3,39,36
satisfied,Female,Loyal Customer,33,Personal Travel,Eco,1396,0,5,0,1,1,0,3,1,3,2,5,4,5,1,0,0
satisfied,Female,Loyal Customer,14,Personal Travel,Eco Plus,1528,0,5,0,2,3,5,5,2,2,0,2,2,2,5,0,0
dissatisfied,Male,Loyal Customer,35,Personal Travel,Eco,6470,1,1,1,3,1,3,3,1,2,2,2,3,2,3,0,32
dissatisfied,Female,Loyal Customer,38,Personal Travel,Eco,5322,1,1,1,3,1,4,4,2,4,2,2,4,2,4,0,0
dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,4650,1,1,1,3,2,1,2,2,1,3,4,4,4,2,0,
satisfied,Female,Loyal Customer,36,Personal Travel,Eco Plus,4055,0,5,0,2,2,0,2,2,5,2,5,5,4,2,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Eco Plus,2618,0,5,0,2,3,0,3,3,5,4,4,4,4,3,0,0
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco,4051,1,1,1,3,3,1,1,3,2,3,3,3,3,3,0,0
satisfied,Female,Loyal Customer,66,Personal Travel,Eco,2565,0,5,0,2,1,0,1,1,5,1,3,5,1,1,65,56
dissatisfied,Male,Loyal Customer,59,Personal Travel,Eco,4195,1,1,1,3,1,3,5,2,3,3,2,5,2,5,0,2
satisfied,Female,Loyal Customer,10,Personal Travel,Eco,3629,0,5,0,2,4,4,2,4,4,0,4,2,4,3,1,0
dissatisfied,Male,Loyal Customer,51,Personal Travel,Eco,3937,1,1,1,3,5,1,5,5,2,1,3,4,3,5,12,12
dissatisfied,Male,Loyal Customer,61,Personal Travel,Eco,3800,1,1,1,3,4,1,4,4,2,4,3,3,4,4,4,0
dissatisfied,Male,Loyal Customer,9,Personal Travel,Eco Plus,3858,1,1,1,3,1,1,5,1,1,2,3,1,3,1,6,15
satisfied,Female,Loyal Customer,60,Personal Travel,Eco Plus,2502,0,5,0,2,3,0,5,3,5,3,4,5,3,3,0,0
dissatisfied,Male,Loyal Customer,53,Personal Travel,Eco Plus,3577,1,1,1,3,2,1,2,2,4,5,3,4,2,2,9,0
satisfied,Female,Loyal Customer,38,Personal Travel,Eco,3906,0,5,0,2,5,0,5,5,5,2,4,3,5,5,0,0
dissatisfied,Male,Loyal Customer,38,Personal Travel,Eco,3189,1,1,1,3,5,1,5,5,3,3,3,1,4,5,0,0
satisfied,Female,Loyal Customer,50,Personal Travel,Business,2317,0,5,0,2,3,5,5,2,2,0,5,5,2,5,0,0
dissatisfied,Male,Loyal Customer,51,Personal Travel,Eco,3757,1,1,1,3,3,1,3,3,2,2,2,4,2,3,0,0
satisfied,Female,Loyal Customer,48,Personal Travel,Eco Plus,2219,0,5,0,2,2,0,2,2,3,5,4,4,5,2,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,2159,0,5,0,2,4,5,5,4,4,0,4,5,4,4,0,0
satisfied,Female,Loyal Customer,56,Personal Travel,Eco,2159,0,5,0,2,4,4,4,3,3,0,3,3,3,5,0,0
dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,2987,1,1,1,3,1,1,1,1,4,2,3,1,2,1,0,12
satisfied,Female,Loyal Customer,15,Personal Travel,Eco,3187,0,5,0,2,3,1,2,2,2,0,2,2,2,3,0,0
satisfied,Female,Loyal Customer,7,Personal Travel,Eco,3211,0,5,0,2,2,0,2,2,2,5,4,4,1,2,2,0
dissatisfied,Male,Loyal Customer,50,Personal Travel,Eco,2702,1,1,1,3,3,1,1,3,1,5,4,3,4,3,10,17
